Date,Open,High,Low,Close,Adj Close,Volume
03-12-2001,210.250000,213.800003,208.000000,209.699997,139.714661,945726
04-12-2001,211.000000,215.899994,210.350006,213.350006,142.146545,1014556
05-12-2001,215.899994,219.000000,214.250000,217.850006,145.144684,1020075
06-12-2001,219.800003,220.600006,214.750000,215.649994,143.678940,844104
07-12-2001,217.000000,219.500000,213.050003,214.649994,143.012619,823769
10-12-2001,215.800003,217.250000,213.000000,214.750000,143.079269,450615
11-12-2001,215.949997,217.800003,213.500000,216.949997,144.545044,518987
12-12-2001,216.899994,217.500000,214.750000,215.050003,143.279129,531830
13-12-2001,216.449997,219.000000,213.600006,216.949997,144.545044,1426021
14-12-2001,217.550003,218.500000,215.899994,216.899994,144.511719,776997
17-12-2001,null,null,null,null,null,null
18-12-2001,218.899994,218.899994,215.000000,217.250000,144.744949,524842
19-12-2001,216.250000,217.000000,213.550003,216.300003,144.111969,861737
20-12-2001,213.500000,218.000000,213.500000,217.199997,144.711609,529670
21-12-2001,216.250000,219.699997,216.250000,218.100006,145.311264,1075728
24-12-2001,220.000000,220.000000,216.050003,216.250000,144.078659,296912
25-12-2001,null,null,null,null,null,null
26-12-2001,217.399994,217.399994,214.250000,215.000000,143.245850,145609
27-12-2001,215.000000,218.500000,214.500000,217.800003,145.111343,752416
28-12-2001,218.000000,219.899994,216.550003,218.699997,145.711014,945226
31-12-2001,218.000000,225.000000,218.000000,222.949997,148.542633,1506785
01-01-2002,220.000000,222.899994,219.699997,220.750000,147.076859,320963
02-01-2002,219.500000,223.899994,218.949997,222.449997,148.209457,538953
03-01-2002,222.000000,222.750000,218.699997,220.149994,146.677063,645340
04-01-2002,221.949997,224.699997,220.800003,222.949997,148.542633,491327
07-01-2002,223.000000,224.850006,216.050003,217.649994,145.011414,461020
08-01-2002,218.500000,220.899994,216.000000,220.149994,146.677063,340485
09-01-2002,219.500000,220.500000,214.800003,215.149994,143.345779,447720
10-01-2002,216.000000,216.000000,213.100006,214.750000,143.079269,485409
11-01-2002,213.500000,217.899994,212.100006,215.100006,143.312485,757137
14-01-2002,218.899994,218.899994,214.600006,214.899994,143.179214,186883
15-01-2002,215.000000,216.500000,210.649994,211.449997,140.880615,1462275
16-01-2002,212.000000,213.500000,210.000000,210.100006,139.981155,889657
17-01-2002,211.500000,214.000000,210.000000,211.449997,140.880615,687959
18-01-2002,214.500000,214.500000,211.600006,213.600006,142.313065,615244
21-01-2002,213.050003,214.000000,212.399994,212.699997,141.713379,322789
22-01-2002,213.000000,216.000000,210.300003,211.250000,140.747345,978494
23-01-2002,211.250000,216.500000,211.250000,215.600006,143.645584,1042598
24-01-2002,216.399994,220.800003,216.250000,220.050003,146.610458,1206687
25-01-2002,223.300003,223.300003,218.649994,220.300003,146.777054,524729
28-01-2002,220.000000,223.949997,217.350006,219.149994,146.010818,566064
29-01-2002,218.199997,222.899994,218.199997,221.600006,147.643112,633382
30-01-2002,223.000000,224.000000,220.050003,221.300003,147.443268,908193
31-01-2002,219.000000,222.000000,215.000000,220.500000,146.910248,750061
01-02-2002,221.000000,221.100006,217.899994,219.199997,146.044144,669746
04-02-2002,221.399994,221.949997,217.699997,218.750000,145.744339,398108
05-02-2002,218.600006,219.250000,215.750000,217.149994,144.678299,336439
06-02-2002,217.899994,222.449997,217.050003,222.050003,147.942993,627291
07-02-2002,222.449997,226.199997,221.500000,224.250000,149.408722,1102393
08-02-2002,224.899994,233.000000,224.899994,230.350006,153.472916,2051260
11-02-2002,233.399994,240.350006,233.250000,239.100006,159.302673,1784987
12-02-2002,239.000000,239.500000,229.300003,231.449997,154.205795,617578
13-02-2002,234.000000,234.949997,230.649994,233.399994,155.505020,649306
14-02-2002,230.100006,237.850006,230.100006,231.050003,153.939316,273859
15-02-2002,232.000000,236.399994,230.399994,234.600006,156.304535,618046
18-02-2002,235.699997,246.000000,233.000000,242.899994,161.834457,1352675
19-02-2002,242.399994,243.949997,239.050003,240.899994,160.501953,922084
20-02-2002,220.000000,241.000000,220.000000,240.100006,159.968979,772090
21-02-2002,238.550003,242.000000,238.000000,240.750000,160.402023,888888
22-02-2002,240.000000,241.500000,238.000000,240.800003,160.435303,702255
25-02-2002,237.000000,239.949997,236.199997,238.850006,159.136139,527423
26-02-2002,238.750000,241.399994,238.000000,240.899994,160.501953,1153669
27-02-2002,242.000000,249.000000,242.000000,246.500000,164.233002,2000136
28-02-2002,248.000000,252.000000,240.100006,248.500000,165.565506,2040648
01-03-2002,254.000000,266.000000,248.000000,262.700012,175.026443,2353448
